,track_id,track_name,artist,track_length,track_popularity,track_added,album_id,album_name,total_album_tracks,track_url,album_url,album_release_year
419,2DUIPSrKvyzLb2o1qd4xjg,J.us.T,Eyedi,3.0504333333333333,0,2023-06-19 13:19:04+00:00,3nqAJTisL4LzoF0AO4w8Ph,J.us.T,2,https://open.spotify.com/track/2DUIPSrKvyzLb2o1qd4xjg,https://open.spotify.com/album/3nqAJTisL4LzoF0AO4w8Ph,2020
420,18FtMmEpT4Dn7GV9SgFNjy,POP THE TAG,Omega Sapien,2.745833333333333,32,2023-06-19 13:19:04+00:00,1qXiVRdQROWClhtAzsp4oj,POP THE TAG,1,https://open.spotify.com/track/18FtMmEpT4Dn7GV9SgFNjy,https://open.spotify.com/album/1qXiVRdQROWClhtAzsp4oj,2019
421,0Fq12KyAAZQJVzOInSN4Ne,Empty Room,LEEBADA,3.576216666666667,0,2023-06-19 13:19:04+00:00,25gvEn37EkGGQzvpXc9Dzl,Empty Room,2,https://open.spotify.com/track/0Fq12KyAAZQJVzOInSN4Ne,https://open.spotify.com/album/25gvEn37EkGGQzvpXc9Dzl,2020
422,31I3Rt1bPa2LrE74DdNizO,Flashing Lights,"Kanye West, Dwele",3.9584333333333332,4,2023-06-19 13:19:04+00:00,5fPglEDz9YEwRgbLRvhCZy,Graduation,13,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO,https://open.spotify.com/album/5fPglEDz9YEwRgbLRvhCZy,2007
423,48C9sYkAOavqzFn77bxGR3,Toxic - Y2K & Alexander Lewis Remix,"Britney Spears, Y2K, Alexander Lewis",1.77215,60,2023-06-19 13:19:04+00:00,4ygFGtHmI1d7bEt2Rwp3Z6,Toxic (Y2K & Alexander Lewis Remix),1,https://open.spotify.com/track/48C9sYkAOavqzFn77bxGR3,https://open.spotify.com/album/4ygFGtHmI1d7bEt2Rwp3Z6,2020
424,5O9Y1ihopRGt93Njsv24LX,Say,Moe Shop,3.3554666666666666,35,2023-06-19 13:19:04+00:00,5ou70i3rn5dfppcCvyBThS,Pure Pure,6,https://open.spotify.com/track/5O9Y1ihopRGt93Njsv24LX,https://open.spotify.com/album/5ou70i3rn5dfppcCvyBThS,2015
425,1NCUe90ZCiWTnWn3umrwqw,Vintage,NIKI,2.9553333333333334,64,2023-06-19 13:19:04+00:00,4E3FHEEdQkcuEd0D2GKRrX,Zephyr,8,https://open.spotify.com/track/1NCUe90ZCiWTnWn3umrwqw,https://open.spotify.com/album/4E3FHEEdQkcuEd0D2GKRrX,2018
426,2JU81u88B4kWcFzWhU4dnk,Love Goes On And On (feat. Amy Lee),"Lindsey Stirling, Amy Lee",4.108416666666667,53,2023-06-19 13:19:04+00:00,4YAtGpNUwcHesLlyYUIxur,Artemis,13,https://open.spotify.com/track/2JU81u88B4kWcFzWhU4dnk,https://open.spotify.com/album/4YAtGpNUwcHesLlyYUIxur,2019
427,5Y8UUyWfuQ0EAmYLvwwcJL,home with you,FKA twigs,3.7491,0,2023-06-19 13:19:04+00:00,2w8Wshbp9RCPJdPU1iOpaY,MAGDALENE,9,https://open.spotify.com/track/5Y8UUyWfuQ0EAmYLvwwcJL,https://open.spotify.com/album/2w8Wshbp9RCPJdPU1iOpaY,2019
428,4r6QwvEXkDPJYz8AiqT8sC,The Plug (feat. Drelli),"Party Pupils, MAX, Drelli",2.6104333333333334,30,2023-06-19 13:19:04+00:00,5z9Q5EP98Shl7Xf7j5aSI4,The Plug (feat. Drelli),1,https://open.spotify.com/track/4r6QwvEXkDPJYz8AiqT8sC,https://open.spotify.com/album/5z9Q5EP98Shl7Xf7j5aSI4,2019
429,3rT0YIyiE1n8JAUpBCUudE,Checklist (feat. Chromeo),"MAX, Chromeo",2.253,56,2023-06-19 13:19:04+00:00,4WBw4bADhTNKrIcbtDcPjX,Checklist (feat. Chromeo),1,https://open.spotify.com/track/3rT0YIyiE1n8JAUpBCUudE,https://open.spotify.com/album/4WBw4bADhTNKrIcbtDcPjX,2019
